step,method,mean_projection,std_projection,ci95_low,ci95_high,mean_direction_variance,mean_path_error_to_sgd,mean_coord_1,mean_coord_2
53,sgd_replacement,0.00044399869220796974,0.00022520221152617944,0.00024660025037488676,0.0006413971340410527,3.033802e-07,0.0,-0.0021545016206800938,-0.003650915576145053
54,sgd_replacement,0.0004448157880688086,0.0002448891812686697,0.00023016095641057127,0.0006594706197270459,3.3794944e-07,0.0,-0.0022150343284010887,-0.003760210471227765
55,sgd_replacement,0.00044688730267807843,0.00023300346994543306,0.00024265075634388196,0.000651123849012275,3.265827e-07,0.0,-0.002237968612462282,-0.003730839816853404
56,sgd_replacement,0.0004655193159123883,0.0002768302228786334,0.00022286692685183593,0.0007081717049729407,3.6666367e-07,0.0,-0.0022666307631880045,-0.003796993289142847
57,sgd_replacement,0.00047244574525393543,0.0002950297303297885,0.00021384078455280675,0.0007310507059550642,3.8548785e-07,0.0,-0.0022633548360317945,-0.0038187839090824127
58,sgd_replacement,0.0005038247240008786,0.0002978593510016991,0.00024273949142396105,0.0007649099565777962,3.621034e-07,0.0,-0.002214582171291113,-0.0038221734575927258
59,sgd_replacement,0.0005264785140752792,0.0003004162925010639,0.0002631520234555903,0.0007898050046949681,3.5888058e-07,0.0,-0.0022048763930797577,-0.0038572486955672503
60,sgd_replacement,0.0005345549434423447,0.0003221686172679342,0.000252161699498485,0.0008169481873862043,4.1171793e-07,0.0,-0.002228272845968604,-0.003922970499843359
61,sgd_replacement,0.0005348397564375774,0.0003320235815393456,0.0002438082554432483,0.0008258712574319065,4.4298164e-07,0.0,-0.002310642506927252,-0.004061315208673477
62,sgd_replacement,0.0005578103649895638,0.0003574570731693303,0.00024448542564882626,0.0008711353043303013,5.037711e-07,0.0,-0.0023298943415284157,-0.004126591607928276
63,sgd_replacement,0.0005703035945771262,0.0003362513304490958,0.00027556630827282836,0.0008650408808814241,4.6088107e-07,0.0,-0.0023331681732088327,-0.004196655936539173
64,sgd_replacement,0.0005708755576051772,0.0003327700074708644,0.00027918978543461465,0.0008625613297757397,4.4640478e-07,0.0,-0.002356377663090825,-0.004261267837136984
65,sgd_replacement,0.0005830387643072754,0.00031550586152338556,0.0003064856832702326,0.0008595918453443181,4.5008062e-07,0.0,-0.0023449452128261328,-0.0043164873495697975
66,sgd_replacement,0.0006088007416110486,0.0003130604808994819,0.0003343911311979223,0.0008832103520241748,4.814706e-07,0.0,-0.002323174150660634,-0.004337115678936243
67,sgd_replacement,0.0006129230023361742,0.0003026383650687121,0.00034764877923410334,0.0008781972254382452,4.9712145e-07,0.0,-0.0023239038418978453,-0.004376708529889584
68,sgd_replacement,0.0006320628162939101,0.0003087599299348089,0.00036142280500548666,0.0009027028275823336,5.4457934e-07,0.0,-0.002325251465663314,-0.004394238349050283
69,sgd_replacement,0.0006552774575538933,0.0003283261737010298,0.00036748687742423406,0.0009430680376835526,6.126968e-07,0.0,-0.002333028009161353,-0.0044568688608706
70,sgd_replacement,0.0006712521193549037,0.00032434205650652,0.0003869537719211263,0.0009555504667886811,7.023588e-07,0.0,-0.002342755440622568,-0.0044523864053189754
71,sgd_replacement,0.0006721020152326673,0.0003439281718228212,0.00037063568077602937,0.0009735683496893052,6.854846e-07,0.0,-0.002374975010752678,-0.004522251896560192
72,sgd_replacement,0.0006778414448490366,0.00034819192851695633,0.00037263776286781714,0.000983045126830256,7.2841357e-07,0.0,-0.002419252647086978,-0.004567817784845829
73,sgd_replacement,0.0006902123714098707,0.0003559713894501524,0.0003781896912664785,0.001002235051553263,7.2073294e-07,0.0,-0.002451844047755003,-0.00462719751521945
74,sgd_replacement,0.0006882812798721716,0.00032963866316348966,0.0003993402520046498,0.0009772223077396934,6.91612e-07,0.0,-0.0025351354852318764,-0.004732607863843441
75,sgd_replacement,0.0006983701605349779,0.00036004809183490293,0.0003827740931983014,0.0010139662278716545,7.5355575e-07,0.0,-0.0025702668353915215,-0.004814232233911753
76,sgd_replacement,0.0007014063885435462,0.00037824947220371216,0.00036985610788158654,0.001032956669205506,7.458555e-07,0.0,-0.002596992999315262,-0.004878174979239702
77,sgd_replacement,0.0006955401651794091,0.0003872350534538721,0.000356113675284309,0.0010349666550745092,8.4288666e-07,0.0,-0.002655148971825838,-0.004942617379128933
78,sgd_replacement,0.0007008977001532913,0.0003714926927611713,0.0003752699978031894,0.0010265254025033932,8.3094693e-07,0.0,-0.002685817424207926,-0.005045815836638212
79,sgd_replacement,0.0007442393311066553,0.00036533661327320795,0.0004240076703428649,0.0010644709918704457,8.77548e-07,0.0,-0.0025930192787200212,-0.005026832222938538
80,sgd_replacement,0.0007990641635842622,0.0003858136700540442,0.00046088357117157123,0.0011372447559969531,1.0062025e-06,0.0,-0.0024929374922066927,-0.0049614207819104195
0,standard_langevin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,standard_langevin,3.460860971244983e-05,1.5705855807201208e-05,2.0841820110402832e-05,4.837539931449683e-05,8.430718e-09,0.0001402762864017859,1.2360266055111424e-06,2.353579839109443e-05
2,standard_langevin,6.391638744389639e-05,2.101699183534284e-05,4.54941818527536e-05,8.233859303503918e-05,1.433817e-08,0.00017956017109099776,-5.000151759304572e-06,-1.7645354091655463e-05
3,standard_langevin,6.72875245072646e-05,3.2332517046946085e-05,3.894682375501286e-05,9.562822525951633e-05,2.2239831e-08,0.0002977400436066091,-1.70722087204922e-05,-9.6127376309596e-05
4,standard_langevin,0.00010694470183807425,3.924247436757712e-05,7.254715644392561e-05,0.0001413422472322229,2.901934e-08,0.0003953929408453405,-4.0544484363636e-05,-0.00012338635860942304
5,standard_langevin,0.00014572206418961287,7.813703415020435e-05,7.723193398094173e-05,0.000214212194398284,4.4746997e-08,0.0005557842087000608,6.228811798791867e-06,-0.0001599136012373492
6,standard_langevin,0.00015850946947466583,6.859063784123101e-05,9.838712457210555e-05,0.0002186318143772261,3.5108396e-08,0.0004729146894533187,-5.485272777150385e-05,-0.0002409820881439373
7,standard_langevin,0.00012436091783456503,5.5621004209736063e-05,7.560695804977449e-05,0.0001731148776193556,3.1653503e-08,0.0004830563557334244,-0.0002270895492983982,-0.0003092555853072554
8,standard_langevin,0.00011831491137854755,3.321612993239071e-05,8.919968978305743e-05,0.00014743013297403767,3.429432e-08,0.0005488894530571997,-0.0002856847713701427,-0.00037380983121693134
9,standard_langevin,0.000122314270993229,3.849451804913114e-05,8.857233821860067e-05,0.0001560562037678573,5.2397635e-08,0.0005784684326499701,-0.00033890557824634016,-0.0004565560375340283
10,standard_langevin,0.0001351708357105963,3.348078951454686e-05,0.00010582362976299983,0.00016451804165819276,7.251834e-08,0.0006035032565705478,-0.00034511060221120715,-0.0005913494387641549
11,standard_langevin,0.00014700961037306115,3.0837841890985734e-05,0.00011997905015998833,0.00017404017058613398,6.5620874e-08,0.0005731389974243939,-0.00036172414547763765,-0.0006877981941215694
12,standard_langevin,0.00016390869568567724,3.00740622080517e-05,0.00013754761788262692,0.00019026977348872757,6.477412e-08,0.0006451752851717174,-0.0003812956565525383,-0.0007086088880896568
13,standard_langevin,0.00013868209643987938,2.5269415260847076e-05,0.00011653247737210893,0.00016083171550764983,6.277076e-08,0.0006061347667127848,-0.0004285051836632192,-0.000800961279310286
14,standard_langevin,0.00014929782191757112,3.235511173383418e-05,0.00012093731604904103,0.00017765832778610119,5.8667506e-08,0.0005600849981419742,-0.0004925642278976738,-0.0008960788836702704
15,standard_langevin,0.00013977290509501473,2.950561712242608e-05,0.00011391009137831476,0.0001656357188117147,7.550838e-08,0.0005832864553667605,-0.0006028502248227596,-0.0009442380396649241
16,standard_langevin,0.00015717881760792806,3.525612249998005e-05,0.0001262754636869861,0.00018808217152887003,8.926196e-08,0.0006129267858341336,-0.0006052526878193021,-0.001048338832333684
17,standard_langevin,0.0001366727414279012,8.267535949120277e-05,6.420459366436898e-05,0.00020914088919143345,1.2114401e-07,0.0005560811259783804,-0.0007057297043502331,-0.0011130739003419876
18,standard_langevin,0.0001787581786629744,7.413207314839914e-05,0.00011377855155283392,0.00024373780577311484,1.18870666e-07,0.0007683399016968906,-0.0007213525241240859,-0.0010939990170300007
19,standard_langevin,0.00017081249970942735,0.00010759919562767083,7.649764633630147e-05,0.00026512735308255325,1.4965327e-07,0.0007140585803426802,-0.00077628786675632,-0.001223225612193346
20,standard_langevin,0.00020563145662890747,9.585856006594772e-05,0.00012160772406808678,0.00028965518918972816,1.3144141e-07,0.0008514088694937527,-0.0006980982725508511,-0.001331073115579784
21,standard_langevin,0.00024413689388893544,7.31919090372889e-05,0.00017998135695687466,0.0003082924308209962,1.3502427e-07,0.0009372285567224026,-0.0006758972303941846,-0.0013233966892585158
22,standard_langevin,0.00022969922283664346,9.388908428661682e-05,0.00014740181191109111,0.0003119966337621958,1.4107759e-07,0.0008846638374961913,-0.0007650313200429082,-0.001357190078124404
23,standard_langevin,0.00025743619189597664,0.00010303782003022693,0.0001671195605183137,0.0003477528232736396,1.6630479e-07,0.000881665968336165,-0.000797934946604073,-0.0014401099178940058
24,standard_langevin,0.0002729239306063391,0.00011362172004189429,0.00017333010183056177,0.0003725177593821165,1.7716265e-07,0.0008036685176193714,-0.000795475672930479,-0.0014905765419825912
25,standard_langevin,0.00026614875241648406,0.00014679156689234905,0.00013748027095524405,0.00039481723387772404,1.3600591e-07,0.0007347044302150607,-0.0008513628272339702,-0.0016367364441975951
26,standard_langevin,0.0002737196327871061,0.00017298289493036405,0.000122093440079579,0.0004253458254946332,1.5455053e-07,0.0006274020415730774,-0.0009424947202205658,-0.0017697137081995606
27,standard_langevin,0.00028318976001173723,0.0001996210956367894,0.00010821415489369293,0.0004581653651297815,1.5715021e-07,0.0005946367746219039,-0.000959295779466629,-0.0018068853532895446
28,standard_langevin,0.00028526170499389993,0.00022850329730262207,8.496973390010909e-05,0.0004855536760876908,1.8270767e-07,0.0005923938006162643,-0.0010169881861656904,-0.0019086574902758002
29,standard_langevin,0.0003188553746440448,0.0002464045995637773,0.00010287222028350216,0.0005348385290045875,1.798973e-07,0.0007341612945310771,-0.0009480481967329979,-0.001981354784220457
30,standard_langevin,0.0003162131484714337,0.000262689784063551,8.595540052038406e-05,0.0005464708964224833,2.0159668e-07,0.0006850470672361553,-0.0009533907286822796,-0.002097406657412648
31,standard_langevin,0.000331895294948481,0.0002394480885763913,0.00012200979131791394,0.0005417807985790481,2.0292332e-07,0.0006837951368652284,-0.0009766934672370553,-0.002168328035622835
32,standard_langevin,0.0003591398592106998,0.00023641578308900425,0.00015191228852988318,0.0005663674298915164,2.0664793e-07,0.0007379421149380505,-0.000937210104893893,-0.002203127834945917
33,standard_langevin,0.0003603152657888131,0.00022622308950148728,0.00016202198495631804,0.0005586085466213082,2.0049951e-07,0.0007543182582594454,-0.000944022904150188,-0.0022711954079568386
34,standard_langevin,0.000387824464996811,0.00021899460001558298,0.00019586723455944477,0.0005797816954341773,2.1063624e-07,0.000831182929687202,-0.000906457775272429,-0.0023630082141608
35,standard_langevin,0.000440604861069005,0.00024786472666819,0.00022334184887164968,0.0006578678732663603,2.3602861e-07,0.0009252625750377774,-0.0008446993306279182,-0.002359305042773485
36,standard_langevin,0.000443581017316319,0.00022215806695572197,0.000248850885846845,0.0006383111487857931,2.660684e-07,0.000864988483954221,-0.000914518372155726,-0.0024348844308406115
37,standard_langevin,0.0004480688105104491,0.00023936854132668045,0.00023825303311853044,0.0006578845879023677,2.7847273e-07,0.0008293430437333882,-0.0009567091474309564,-0.0025098356418311596
38,standard_langevin,0.00047414701548404993,0.00022787933270400313,0.0002744019734754207,0.0006738920574926792,2.6078672e-07,0.0008241339819505811,-0.0009679434588178992,-0.0024972991086542606
39,standard_langevin,0.0005013091780710965,0.0002338252923854693,0.0002963522726070886,0.0007062660835351045,2.469424e-07,0.0008557208348065615,-0.0009612175635993481,-0.002511026803404093
40,standard_langevin,0.0004857399268075824,0.00024419146952924,0.0002716966664535463,0.0006997831871616185,2.507705e-07,0.0007602903642691672,-0.0010701040737330914,-0.0025795623660087585
41,standard_langevin,0.000486626528436318,0.0002770399765877507,0.00024379028214333503,0.0007294627747293011,2.683072e-07,0.000727211416233331,-0.0011292201234027743,-0.002690925495699048
42,standard_langevin,0.0004966994602000341,0.0002842076137516616,0.0002475805029239201,0.0007458184174761481,3.168965e-07,0.0007629308383911848,-0.0011239718878641725,-0.002733361441642046
43,standard_langevin,0.0005313051195116713,0.00029043958610421754,0.00027672359762038535,0.0007858866414029573,3.0464665e-07,0.0007926180842332542,-0.001111197634600103,-0.0027662788052111864
44,standard_langevin,0.0005320853815646842,0.0002937705841323507,0.0002745841111680594,0.000789586651961309,2.9804886e-07,0.0007480651256628335,-0.0011555204400792718,-0.002858872292563319
45,standard_langevin,0.0005511790659511462,0.0003030868674697629,0.0002855117131612013,0.000816846418741091,2.7342574e-07,0.0007308025378733873,-0.0011689452221617103,-0.0029133972711861134
46,standard_langevin,0.0005583934602327645,0.0003122727937144345,0.00028467428807922064,0.0008321126323863083,2.893435e-07,0.0007237347890622914,-0.0012040638830512762,-0.0029732242692261934
47,standard_langevin,0.0005660186783643439,0.00029928187282721294,0.0003036865504309066,0.0008283508062977812,2.915114e-07,0.0007466680253855884,-0.0012651393190026283,-0.003022409277036786
48,standard_langevin,0.0005788994545582682,0.00027967183843851485,0.000333756279639052,0.0008240426294774844,2.8850255e-07,0.0007808923837728798,-0.0013022348284721375,-0.0031066827941685915
49,standard_langevin,0.0005923632532358169,0.00027524518984533154,0.00035110020688601046,0.0008336262995856233,3.0808053e-07,0.0008409527945332229,-0.0013188949087634683,-0.003204690758138895
50,standard_langevin,0.0006279536406509578,0.00027284541912659874,0.0003887940860804914,0.0008671131952214243,3.1541404e-07,0.0008501593256369233,-0.0013057159958407283,-0.0032636497635394335
51,standard_langevin,0.0006411785609088839,0.0002655482087157435,0.00040841529328013566,0.000873941828537632,3.0190336e-07,0.0010026068193838,-0.0012690662406384945,-0.003313317196443677
52,standard_langevin,0.0006619552208576351,0.0002833703376318619,0.0004135701684588865,0.0009103402732563838,3.3337938e-07,0.0010146108688786626,-0.0012873709201812744,-0.0033477775286883116
53,standard_langevin,0.0006667949201073498,0.00029112589442439944,0.0004116118224495432,0.0009219780177651563,3.3376554e-07,0.0009011361398734152,-0.0013071491848677397,-0.003453221870586276
54,standard_langevin,0.0006934447621461004,0.00029516039582586274,0.0004347252680878097,0.0009521642562043912,3.2353958e-07,0.0009792909258976579,-0.0013033802388235927,-0.0035040266811847687
55,standard_langevin,0.0006901494169142097,0.0002841335302235305,0.00044109539671362204,0.0009392034371147973,3.3199476e-07,0.00097633246332407,-0.0013190560275688767,-0.0035757608711719513
56,standard_langevin,0.00070418196846731,0.00025038814404502893,0.0004847070834161901,0.00092365685351843,3.291082e-07,0.0009663336677476764,-0.001344412798061967,-0.0037046396173536777
57,standard_langevin,0.0007094574335496873,0.0002543652693703715,0.00048649644444622657,0.000932418422653148,3.6967788e-07,0.0009117079898715019,-0.001394500955939293,-0.003779984312132001
58,standard_langevin,0.0007160382461734116,0.00025788349018598554,0.0004899934005557523,0.000942083091791071,4.0119406e-07,0.0008787357364781201,-0.0013813640689477324,-0.003870238782837987
59,standard_langevin,0.0007149771263357252,0.00023025143992409775,0.0005131528406734284,0.0009168014119980219,3.706522e-07,0.0008096779347397387,-0.0014497359516099095,-0.003955122083425522
60,standard_langevin,0.000706843676744029,0.00019827934672736827,0.0005330441663999037,0.0008806431870881542,4.0559902e-07,0.0007463791407644749,-0.001543510938063264,-0.0040456694550812244
61,standard_langevin,0.0007325522077735513,0.0001786828001603042,0.0005759298278467187,0.000889174587700384,4.3056536e-07,0.0007618808886036277,-0.0016082131769508123,-0.0040954770520329475
62,standard_langevin,0.0007308493019081652,0.00021025263430810161,0.0005465547422657279,0.0009151438615506026,4.5400324e-07,0.0006752031040377915,-0.0017242589965462685,-0.004175263457000256
63,standard_langevin,0.0007237085374072194,0.00021799880680250386,0.0005326241582057165,0.0009147929166087223,4.678312e-07,0.0006193584413267672,-0.0017699450254440308,-0.004245050251483917
64,standard_langevin,0.0007145062380004674,0.00021229661904100238,0.0005284200467453969,0.0009005924292555379,4.6307082e-07,0.0006093269912526011,-0.0018103045877069235,-0.004332947079092264
65,standard_langevin,0.0007096263987477868,0.00023073479103625298,0.0005073784371555287,0.0009118743603400449,4.5084894e-07,0.0005668775411322713,-0.0018836479866877198,-0.0043858010321855545
66,standard_langevin,0.0007183654059190303,0.0002500539506411686,0.0004991834543020265,0.000937547357536034,4.691723e-07,0.0005164247122593224,-0.0019897460006177425,-0.004424909595400095
67,standard_langevin,0.000726923911133781,0.00025307610557541,0.0005050929239191493,0.0009487548983484128,4.796544e-07,0.0005704546347260475,-0.002018679864704609,-0.004516269080340862
68,standard_langevin,0.0007482003071345389,0.0002795425414186332,0.0005031704660502141,0.0009932301482188637,5.349128e-07,0.0005986391915939748,-0.0020676671992987394,-0.0045376927591860294
69,standard_langevin,0.00075497513753362,0.00027949789157757736,0.0005099844337605711,0.0009999658413066689,5.412056e-07,0.0005628110957331955,-0.0021107459906488657,-0.004592192359268665
70,standard_langevin,0.0007842386374250054,0.0002435878700138352,0.0005707244553736407,0.0009977528194763702,4.8048724e-07,0.0006191612919792533,-0.002068211790174246,-0.004660972394049168
71,standard_langevin,0.0007829533773474395,0.00021854978873887704,0.0005913860411848075,0.0009745207135100715,5.150606e-07,0.0005872271140106022,-0.0021501355804502964,-0.004767070524394512
72,standard_langevin,0.0007997481268830597,0.00023250761649039155,0.0005959462152655448,0.0010035500385005747,6.0442477e-07,0.0006174856680445373,-0.002201878232881427,-0.004837334156036377
73,standard_langevin,0.000798764661885798,0.00023691306775562942,0.0005911012019760344,0.0010064281217955617,6.0629725e-07,0.000674677372444421,-0.002217159140855074,-0.004980795085430145
74,standard_langevin,0.0008111862291116268,0.0002635849911832666,0.0005801437975229157,0.0010422286607003378,6.1125314e-07,0.0006477886345237494,-0.0022103514056652784,-0.0050688618794083595
75,standard_langevin,0.0008210456813685596,0.00028487704420501975,0.0005713399424284781,0.0010707514203086412,6.617333e-07,0.0006382446736097336,-0.0022596181370317936,-0.0050993990153074265
76,standard_langevin,0.0008151131682097912,0.00027400157668550296,0.000574940196856716,0.0010552861395628664,5.660018e-07,0.0006559060420840979,-0.002318538725376129,-0.005216645542532206
77,standard_langevin,0.0008315668557770551,0.0002838498530076591,0.0005827614896195031,0.001080372221934607,5.727589e-07,0.0007468521362170577,-0.0023194297682493925,-0.005308346822857857
